;;;;;PRODUTO;EAN;CÓDIGO;PREÇO RECOMENDADO
CAT DRY;WHI MPN DRY 10,1 KG CORE;AD SALMAO;Nacional;10241673;WHI DRY MP NATUREZA SALMAO 1X10,1KG;7,90E+12;98715;242,9
CAT PCH;KITEKAT PCH 0,07 KG;CARNE;Nacional;10219411;KITEKAT SACHE AD CARNE 2X24X70G 2020;7,90E+12;97808;2,99
CAT PCH;KITEKAT PCH 0,07 KG;PEIXE;Nacional;10219412;KITEKAT SACHE AD PEIXE 2X24X70G 2020;7,90E+12;97810;2,99
CAT PCH;KITEKAT PCH 0,07 KG;FRANGO;Nacional;10219423;KITEKAT SACHE AD FRANGO 2X24X70G 2020;7,90E+12;97809;2,99
CAT PCH;KITEKAT PCH 0,07 KG;CORDEIRO;Nacional;10286358;KITEKAT SACHE AD CORDEIRO 2X24X70G 2024;7,90E+12;99444;2,99
CAT PCH;OPT CAT PCH 0,085 KG;CARNE;Nacional;10284313;OPT CAT SACHE AD CARNE 2X20X85G 24;7,90E+12;99447;3,9
CAT PCH;OPT CAT PCH 0,085 KG;CASTRADOS CARNE;Nacional;10284327;OPT CAT SACHE AD CAST CARNE 2X20X85G 24;7,90E+12;99448;3,9
CAT PCH;OPT CAT PCH 0,085 KG;SALMAO;Nacional;10284330;OPT CAT SACHE AD SALMAO 2X20X85G 24;7,90E+12;99449;3,9
CAT PCH;OPT CAT PCH 0,085 KG;CASTRADOS PEIXE;Nacional;10284333;OPT CAT SACHE AD CAST SALMAO 2X20X85G 24;7,90E+12;99450;3,9
CAT PCH;OPT CAT PCH 0,085 KG;ADULTOS FRANGO;Nacional;10401134;OPT CAT SACHE AD FRANGO 2X20X85G RE24;7,90E+12;98458;3,9
CAT PCH;OPT CAT PCH 0,085 KG;MANUTENÇÃO PESO FRANGO;Nacional;10401135;OPT CAT SACHE AD MPESO FGO 2X20X85G RE24;7,90E+12;98459;3,9
CAT PCH;OPT CAT PCH 0,085 KG;FILHOTES FRANGO;Nacional;10401136;OPT CAT SACHE FIL FRANGO 2X20X85G RE24;7,90E+12;98460;3,9
CAT PCH;OPT CAT PCH 0,085 KG;CASTRADOS FRANGO;Nacional;10401137;OPT CAT SACHE AD CAST FRA 2X20X85G RE24;7,90E+12;98457;3,9
CAT PCH;OPT CAT PCH 0,085 KG;CASTRADOS FRANGO;Nacional;10254607;BB OPT SCH CAT AD CAST FGO L8P7 2022;7,90E+12;98954;27,28
CAT PCH;SHE PCH 0,085 G;AD ATUM MARINADO;Nacional;10275923;SHEBA SCH AD ATUM MARINADO 2X20X85G RE23;7,90E+12;97813;4,09
CAT PCH;SHE PCH 0,085 G;AD CARNE MOLHO;Nacional;10275928;SHEBA SCH AD CARNE MOLHO 2X20X85G RE23;7,90E+12;97811;4,09
CAT PCH;SHE PCH 0,085 G;AD FRANGO ASSADO;Nacional;10275977;SHEBA SCH AD FRANGO ASSADO 2X20X85G RE23;7,90E+12;97812;4,09
CAT PCH;SHE PCH 0,085 G;AD SALMAO MOLHO;Nacional;10280811;SHEBA SCH AD SALMAO MOLHO 2X20X85G RE23;7,90E+12;97814;4,09
CAT PCH;SHE PCH 0,085 G;FI ATUM MARINADO;Nacional;10280813;SHEBA SCH FIL ATUM MARI 2X20X85G RE23;7,90E+12;97816;4,09
CAT PCH;SHE PCH 0,085 G;FI CARNE MOLHO;Nacional;10280814;SHEBA SCH FIL CARNE MOLHO 2X20X85G RE23;7,90E+12;97815;4,09
CAT PCH;WHI PCH 0,085 KG;FRANGO;Nacional;10277851;WHI SACHE AD FRANGO MOLHO 2X20X85G RE23;7,90E+12;97737;3,69
CAT PCH;WHI PCH 0,085 KG;CORDEIRO;Nacional;10277858;WHI SACHE AD CORD MOLHO 2X20X85G RE23;7,90E+12;98602;3,69
CAT PCH;WHI PCH 0,085 KG;SALMON;Nacional;10277879;WHI SACHE AD SALMAO MOLHO 2X20X85G RE23;7,90E+12;98603;3,69
CAT PCH;WHI PCH 0,085 KG;ATUM;Nacional;10277880;WHI SACHE AD ATUM MOLHO 2X20X85G RE23;7,90E+12;98509;3,69
CAT PCH;WHI PCH 0,085 KG;CARNE;Nacional;10277881;WHI SACHE AD CARNE MOLHO 2X20X85G RE23;7,90E+12;97723;3,69
CAT PCH;WHI PCH 0,085 KG;FILHOTES CARNE;Nacional;10277883;WHI SACHE FIL CARNE MOLHO 2X20X85G RE23;7,90E+12;98537;3,69
CAT PCH;WHI PCH 0,085 KG;FILHOTES FRANGO;Nacional;10277884;WHI SACHE FIL FRANGO MOLHO 2X20X85G RE23;7,90E+12;98541;3,69
CAT PCH;WHI PCH 0,085 KG;PEIXE;Nacional;10277887;WHI SACHE AD PEIXE JELLY 2X20X85G RE23;7,90E+12;98517;3,69
CAT PCH;WHI PCH 0,085 KG;CARNE;Nacional;10277888;WHI SACHE AD CARNE JELLY 2X20X85G RE23;7,90E+12;97725;3,69
CAT PCH;WHI PCH 0,085 KG;CASTRADO PEIXE;Nacional;10277891;WHI SACHE CAST PEIXE 2X20X85G RE23;7,90E+12;98580;3,69
CAT PCH;WHI PCH 0,085 KG;CASTRADO CARNE;Nacional;10277892;WHI SACHE CAST CARNE 2X20X85G RE23;7,90E+12;98496;3,69
CAT PCH;WHI PCH 0,085 KG;CARNE;Nacional;10279258;BB MPK WHI AD CAR 2X12X85G L12P10 RE23;7,90E+12;97747;36,96
CAT PCH;WHI PCH 0,085 KG;FRANGO;Nacional;10404863;BB WHI SCH FRG 2X20X85G L20P16 24;7,90E+12;99509;59
CAT PCH;WHI PCH 0,085 KG;CARNE;Nacional;10404865;BB WHI SCH CAR 2X20X85G L20P16 24;7,90E+12;99510;59
CAT SCKS;DREAMIES SCKS 0,04 KG;CARNE;Nacional;10256060;DREAMIES CARNE 2X22X40G 2022;7,90E+12;99161;8,29
CAT SCKS;DREAMIES SCKS 0,04 KG;QUEIJO;Nacional;10256104;DREAMIES QUEIJO 2X22X40G 2022;7,90E+12;99162;8,29
CAT SCKS;DREAMIES SCKS 0,04 KG;FRANGO;Nacional;10256105;DREAMIES FRANGO 2X22X40G 2022;7,90E+12;99163;8,29
CAT SCKS;DREAMIES SCKS 0,04 KG;SALMÃO;Nacional;10256106;DREAMIES SALMAO 2X22X40G 2022;7,90E+12;99164;8,29
CAT SCKS;DREAMIES SCKS 0,08 KG;CARNE;Nacional;10256109;DREAMIES CARNE 34X80G 2022;7,90E+12;99165;13,9
CAT SCKS;DREAMIES SCKS 0,08 KG;SALMÃO;Nacional;10256111;DREAMIES SALMAO 34X80G 2022;7,90E+12;99166;13,9
CAT SCKS;DREAMIES SCKS 0,15 KG;CARNE;Nacional;10256113;DREAMIES CARNE 36X150G 2022;7,90E+12;99167;23,09
CAT SCKS;OPT CAT SCKS 0,008G;ANTI BOLA PELO;Nacional;60010069;OPT CAT C&T ANTI BOLA PELO 34X80G 2025;7,90E+12;99802;9,9
CAT SCKS;OPT CAT SCKS 0,008G;PELE & PELO;Nacional;60010070;OPT CAT C&T PELE & PELO 34X80G 2025;7,90E+12;99803;9,9
CAT SCKS;SHEBA CREAMY 0,024 KG;FRANGO E SALSA;Importação;10407540;SHE CRE FGO&SAL 4X12X2X12G 25-2;7,90E+12;99831;14,99
CAT SCKS;SHEBA CREAMY 0,024 KG;ATUM;Importação;60000349;SHE CRE ATUM 4X12X2X12G 25;7,90E+12;99742;14,99
CAT SCKS;SHEBA CREAMY 0,048 KG;ATUM;Importação;60000378;SHE CRE ATUM 2X12X4X12G 25;7,90E+12;99743;19,9
CAT SCKS;SHEBA CREAMY 0,048 KG;ATUM E CAMARÃO;Importação;60000392;SHE CRE ATUM & AT&CAM 2X12X4X12G 25;7,90E+12;99744;19,9
CAT SCKS;SHEBA CREAMY 0,048 KG;FRANGO E PEIXE;Importação;60000396;SHE CRE FRG & FRG&PE 2X12X4X12G 25;7,90E+12;99745;19,9
CAT SCKS;WHI TEMPT SCKS 0,04 KG;PELO SAUDAVEL;Nacional;10256115;WHI TEMP PELO SAUDAVEL 24X40G 2022;7,90E+12;99168;13,19
CAT SCKS;WHI TEMPT SCKS 0,04 KG;ANTI BOLAPELO;Nacional;10256117;WHI TEMP ANTI BOLAPELO 24X40G 2022;7,90E+12;99169;13,19
CAT SCKS;WHI TEMPT SCKS 0,08 KG;ANTI BOLAPELO;Nacional;10256119;WHI TEMP ANTI BOLAPELO 34X80G 2022;7,90E+12;99170;20,9
DOG CAN;PED CAN 0,28 KG;FILHOTES;Nacional;10285543;PED LATA FIL CARNE&FGO PATE 24X280G RE24;7,90E+12;98713;15,39
DOG CAN;PED CAN 0,28 KG;CARNE;Nacional;10285551;PED LATA AD CARNE PATE 24X280G RE24;7,90E+12;98712;15,39
DOG CAN;PED CAN 0,28 KG;FRANGO;Nacional;10285563;PED LATA AD FRANGO PATE 24X280G RE24;7,90E+12;98714;15,39
DOG CAN;PED CAN 0,29 KG;FRANGO AO MOLHO;Nacional;10285561;PED LATA AD FRANGO CIG 24X290G RE24;7,90E+12;97300;15,39
DOG DRY;CHAMP DRY 0,9 KG CORE;CARNE & CEREAL;Nacional;10279185;CHAMP DRY AD CARNE & CEREAL 10X900G RE23;7,90E+12;98985;11,9
DOG DRY;CHAMP DRY 0,9 KG CORE;FILHOTES;Nacional;10279187;CHAMP DRY FILHOTE 10X900G RE23;7,90E+12;98980;11,9
